Date,Open,High,Low,Close,Volume
2014-01-20,613.46,670.12,613.46,670.12,0
2014-01-27,671.72,691.67,671.72,691.67,0
2014-02-03,709.64,710.61,694.99,694.99,0
2014-02-10,686.61,697.77,685.42,685.42,0
2014-02-17,694.47,694.47,683.68,683.68,0
2014-02-24,673.79,682.47,672.13,672.13,0
2014-03-03,649.47,681.7,636.99,681.7,0
2014-03-10,682.84,682.84,682.84,682.84,0
2014-03-17,684.27,684.27,648.91,678.56,0
2014-03-24,670.79,674.89,670.48,670.66,0
2014-03-31,671.27,675.16,668.52,675.16,0
2014-04-07,680.42,699.0,680.42,697.31,0
2014-04-14,691.61,691.61,677.24,677.24,0
2014-04-21,672.39,673.23,669.03,671.39,0
2014-04-28,671.39,685.28,671.39,684.61,0
2014-05-05,677.47,677.47,611.36,611.36,0
2014-05-12,592.7,631.87,592.7,631.87,0
2014-05-19,642.04,642.04,635.1,639.3,0
2014-05-26,639.3,643.24,639.01,641.65,0
2014-06-02,640.78,642.61,633.33,642.61,0
2014-06-09,637.46,648.16,636.41,648.16,0
2014-06-16,644.54,645.51,643.17,645.51,0
2014-06-23,643.5,649.83,643.5,649.21,0
2014-06-30,648.62,651.78,644.67,651.78,0
2014-07-07,648.79,650.91,643.87,649.97,0
2014-07-14,663.58,665.94,661.09,665.94,0
2014-07-21,662.74,662.74,661.74,662.19,0
2014-07-28,662.19,663.01,658.63,658.63,0
2014-08-04,655.28,668.22,655.28,668.22,0
2014-08-11,682.35,699.3,682.35,699.3,0
2014-08-18,699.97,699.98,694.16,694.16,0
2014-08-25,697.63,702.18,696.39,702.18,0
2014-09-01,705.65,705.65,701.75,701.75,0
2014-09-08,704.88,704.88,701.18,701.18,0
2014-09-15,701.87,704.57,700.22,704.57,0
2014-09-22,701.08,701.08,681.5,697.47,0
2014-09-29,700.46,700.46,683.35,683.35,0
2014-10-06,679.17,690.23,679.15,690.23,0
2014-10-13,686.46,686.46,681.1,684.5,0
2014-10-20,682.11,682.11,662.61,662.61,0
2014-10-27,657.85,662.07,651.31,661.36,0
2014-11-03,657.13,657.13,652.65,652.65,0
2014-11-10,655.42,655.42,647.88,647.88,0
2014-11-17,645.46,649.33,608.84,647.96,0
2014-11-24,639.01,655.28,639.01,655.28,0
2014-12-01,677.73,679.99,674.24,674.24,0
2014-12-08,680.57,680.57,676.09,678.09,0
2014-12-15,673.97,677.79,673.97,675.43,0
2014-12-22,666.29,672.58,666.29,669.31,0
2014-12-29,671.86,688.12,671.86,688.12,0
2015-01-05,703.12,705.25,692.34,695.27,0
2015-01-12,689.46,696.91,689.46,696.91,0
2015-01-19,688.72,688.83,684.55,688.83,0
2015-01-26,688.03,690.85,686.36,689.96,0
2015-02-02,690.78,717.51,687.24,687.24,0
2015-02-09,690.05,716.32,690.05,700.14,0
2015-02-16,704.41,710.04,704.41,707.97,0
2015-02-23,709.74,730.06,709.74,725.81,0
2015-03-02,729.29,748.63,729.29,746.41,0
2015-03-09,749.75,754.89,747.94,754.89,0
2015-03-16,751.34,751.34,744.6,746.32,0
2015-03-23,746.51,749.7,743.83,748.09,0
2015-03-30,743.08,746.85,742.66,742.66,0
2015-04-06,731.71,731.71,702.08,725.65,0
2015-04-13,725.73,727.12,722.6,726.44,0
2015-04-20,725.34,736.99,725.34,736.92,0
2015-04-27,729.51,736.57,721.95,736.57,0
2015-05-04,728.42,728.42,699.01,699.01,0
2015-05-11,690.94,714.76,690.94,707.36,0
2015-05-18,707.53,712.91,707.53,712.91,0
2015-05-25,712.22,719.65,712.22,719.65,0
2015-06-01,718.66,723.2,717.72,720.65,0
2015-06-08,732.45,750.87,732.45,739.04,0
2015-06-15,741.28,741.28,729.35,730.96,0
2015-06-22,723.11,730.76,719.39,722.09,0
2015-06-29,718.32,742.32,718.32,742.32,0
2015-07-06,742.22,750.36,740.78,750.36,0
2015-07-13,762.0,766.17,751.75,758.25,0
2015-07-20,757.25,774.21,757.25,772.49,0
2015-07-27,771.92,884.61,771.92,884.61,0
2015-08-03,876.16,876.16,860.03,860.03,0
2015-08-10,864.92,864.92,855.45,862.9,0
2015-08-17,859.34,859.34,847.08,847.08,0
2015-08-24,833.55,833.7,810.65,810.65,0
2015-08-31,800.65,813.58,800.65,806.39,0
2015-09-07,800.53,800.53,791.91,798.99,0
2015-09-14,805.74,806.53,804.08,806.53,0
2015-09-21,808.96,808.96,799.85,799.85,0
2015-09-28,800.28,832.35,800.28,832.35,0
2015-10-05,823.37,841.8,823.37,841.3,0
2015-10-12,838.58,838.89,798.99,830.15,0
2015-10-19,830.15,843.69,830.15,839.52,0
2015-10-26,835.8,848.15,833.49,835.31,0
2015-11-02,832.83,840.01,831.55,831.55,0
2015-11-09,827.66,831.42,827.46,829.5,0
2015-11-16,829.99,832.26,826.43,826.43,0
2015-11-23,828.5,871.24,823.61,846.61,0
2015-11-30,832.85,840.19,832.03,836.24,0
2015-12-07,834.74,837.25,833.37,837.25,0
2015-12-14,840.67,840.67,815.08,815.08,0
2015-12-21,810.25,811.33,792.64,810.49,0
2015-12-28,808.96,817.15,799.39,817.15,0
2016-01-04,807.63,838.33,807.63,823.26,0
2016-01-11,818.29,818.29,803.82,804.57,0
2016-01-18,805.78,805.78,793.46,793.46,0
2016-01-25,789.87,789.87,766.89,766.89,0
2016-02-01,774.39,774.39,767.26,767.26,0
