Date,Open,High,Low,Close,Volume
2010-10-31,4635,4635.0,4000.0,4000,64
2010-11-30,4000,4000.0,4000.0,4000,2
2010-12-31,3500,3500.0,3500.0,3500,15
2011-01-31,3500,3500.0,3240.0,3240,32
2011-02-28,3220,3220.0,3220.0,3220,40
2011-05-31,3220,3220.0,3220.0,3220,130
2011-06-30,3220,3220.0,2900.0,2900,51
2011-07-31,2900,2900.0,2900.0,2900,28
2011-08-31,2710,2710.0,2600.0,2600,93
2011-09-30,2600,2700.0,2600.0,2700,48
2011-12-31,2700,2700.0,2700.0,2700,28
2012-01-31,2700,2700.0,2700.0,2700,18
2012-02-29,2700,2700.0,2700.0,2700,128
2012-03-31,2900,3000.0,2900.0,3000,297
2012-04-30,3000,3000.0,3000.0,3000,20
2012-05-31,3225,3250.0,3225.0,3240,66
2012-06-30,3500,3705.0,3500.0,3705,129
2012-07-31,3705,3705.0,3705.0,3705,1
2012-08-31,3705,3705.0,3705.0,3705,38
2012-10-31,3705,3980.0,3705.0,3980,141
2012-11-30,3700,3975.0,3700.0,3975,43
2012-12-31,4270,4270.0,4000.0,4000,89
2013-01-31,4000,4005.0,4000.0,4000,138
2013-02-28,4300,7105.0,4300.0,7105,407
2013-03-31,7105,10000.0,7105.0,10000,834
2013-04-30,10000,11000.0,10000.0,11000,489
2013-05-31,11000,11500.0,11000.0,11500,173
2013-06-30,11500,11500.0,11000.0,11000,1333
2013-07-31,10175,10175.0,8710.0,8710,99
2013-08-31,8710,8710.0,8500.0,8500,35
2013-09-30,8500,8500.0,7820.0,7820,250
2013-10-31,7820,8200.0,7820.0,8100,258
2013-11-30,7800,8100.0,7400.0,7400,150
2013-12-31,7500,7500.0,6900.0,6900,53
2014-01-31,6900,7575.0,6900.0,7150,590
2014-02-28,7500,7845.0,7300.0,7845,134
2014-03-31,8100,8100.0,8100.0,8100,281
2014-04-30,8120,8120.0,8100.0,8100,132
2014-05-31,8105,8500.0,8105.0,8105,16
2014-06-30,8105,8500.0,8105.0,8450,264
2014-07-31,8450,8450.0,8395.0,8395,24
2014-08-31,8230,8230.0,8230.0,8230,28
2014-09-30,8000,8000.0,8000.0,8000,22
2014-11-30,7990,7990.0,7990.0,7990,5
2014-12-31,7990,7990.0,6845.0,6845,231
2015-01-31,6830,6830.0,5735.0,5735,27
2015-02-28,5735,5900.0,5500.0,5500,934
2015-03-31,5600,5600.0,5085.0,5090,409
2015-04-30,5090,5090.0,4800.0,4800,375
2015-05-31,4750,4750.0,4300.0,4400,672
2015-06-30,4400,4500.0,4070.0,4100,657
2015-07-31,4200,4500.0,4100.0,4500,608
2015-08-31,4835,5700.0,4835.0,5000,346
2015-09-30,5000,5000.0,4750.0,4850,6820
2015-10-31,4500,4500.0,3995.0,4240,656
2015-11-30,4305,5160.0,4300.0,5100,132
2015-12-31,5000,5100.0,4535.0,5100,361
2016-01-31,5000,5000.0,4800.0,4800,280
2016-02-29,4800,5375.0,4800.0,4990,176
2016-03-31,4800,4885.0,4440.0,4440,286
2016-04-30,4770,5480.0,4770.0,5200,579
2016-05-31,5590,6400.0,5590.0,6300,573
2016-06-30,6000,6300.0,5985.0,6200,339
2016-07-31,6100,6200.0,6000.0,6000,179
2016-08-31,6000,6000.0,4750.0,4810,323
2016-09-30,4850,5170.0,4810.0,5170,219
2016-10-31,5170,5170.0,4900.0,4970,134
2016-11-30,4600,4650.0,4260.0,4260,50
2016-12-31,3945,3950.0,3900.0,3900,180
2017-01-31,3895,4190.0,3895.0,4100,406
2017-02-28,4100,4100.0,3900.0,3900,50
2017-03-31,4000,4000.0,3700.0,3700,102
2017-04-30,3650,3650.0,3650.0,3650,40
2017-05-31,3650,3800.0,3650.0,3800,25
2017-06-30,3800,4000.0,3800.0,4000,148
2017-07-31,3800,4100.0,3800.0,4000,329
2017-08-31,3900,3900.0,3560.0,3700,83
2017-09-30,3800,3800.0,3695.0,3695,88
2017-10-31,3500,3550.0,3400.0,3460,182
2017-11-30,3480,3715.0,3205.0,3460,64
2017-12-31,3460,3460.0,3205.0,3205,7
2018-01-31,3205,3205.0,3150.0,3150,106
2018-02-28,3000,3150.0,3000.0,3000,193
2018-03-31,3000,3235.0,2775.0,3000,57
2018-04-30,3000,3330.0,2800.0,3330,229
2018-05-31,3085,3085.0,2980.0,2980,102
2018-06-30,2900,2900.0,2900.0,2900,100
2018-07-31,2900,2900.0,2900.0,2900,259
2018-08-31,2840,2840.0,2695.0,2695,53
2018-09-30,2650,2650.0,2595.0,2595,71
2018-10-31,2595,2595.0,2550.0,2550,83
2018-11-30,2530,2530.0,2500.0,2500,104
2018-12-31,2495,2500.0,2495.0,2500,3
2019-01-31,2495,2495.0,2450.0,2450,33
2019-02-28,2450,2450.0,2450.0,2450,1
2019-03-31,2400,2400.0,2395.0,2395,18
2019-04-30,2395,2395.0,2395.0,2395,10
2019-05-31,2395,2395.0,2395.0,2395,1
